Text,gold_ner,gold_re,wx_ner,gpt_re
端平元年春正月庚子朔，诏求直言；侍从﹑卿监﹑郞官，在外执政﹑从官，举堪为监司﹑守令者各二人；三衙﹑统帅﹑知合﹑御带﹑环衞官，在外总管﹑军帅，举堪为将帅者各二人。锺震﹑陈公益﹑李性传﹑张虙并兼侍读。,"{'时间': ['端平元年春正月庚子朔'], '职官': ['侍从', '卿监', '郞官', '执政', '从官', '监司', '守令', '三衙', '统帅', '知合', '御带', '环衞官', '总管', '军帅', '兼侍读'], '人物': ['锺震', '陈公益', '李性传', '张虙']}","{'任职': [['张虙', '兼侍读'], ['陈公益', '兼侍读'], ['锺震', '兼侍读'], ['李性传', '兼侍读']]}","{'人物': ['锺震', '李性传', '张虙', '陈公益'], '职官': ['侍从', '兼侍读', '卿监', '统帅', '知合', '总管', '军帅', '郞官', '环衞官', '守令', '御带', '监司', '三衙', '从官', '直言', '将帅'], '时间': ['端平元年春正月庚子朔']}","{'任职': [['锺震', '兼侍读'], ['张虙', '兼侍读'], ['陈公益', '兼侍读'], ['李性传', '兼侍读'], ['锺震', '侍读'], ['张虙', '侍读'], ['陈公益', '侍读'], ['李性传', '侍读']]}"
22吴王以其子登为太子，妙选师友：以南郡太守诸葛瑾之子恪、绥远将军张昭之子休、沈约志，四十号将军，绥远第十四。,"{'人物': ['吴王', '登', '诸葛瑾', '恪', '张昭', '休', '沈约'], '职官': ['太子', '太守', '绥远将军'], '地点': ['南郡'], '书籍': ['志']}","{'任职': [['登', '太子'], ['诸葛瑾', '太守'], ['张昭', '绥远将军']], '管理': [['诸葛瑾', '南郡']], '封': [['吴王', '登']], '父': [['诸葛瑾', '恪'], ['张昭', '休']], '作者': [['沈约', '志']]}","{'人物': ['登', '恪', '休', '吴王', '沈约', '张昭', '诸葛瑾'], '职官': ['太子', '太守', '绥远将军', '将军'], '地点': ['南郡'], '书籍': ['志']}","{'任职': [['登', '太子'], ['张昭', '绥远将军'], ['诸葛瑾', '太守']], '父': [['诸葛瑾', '恪'], ['张昭', '休']], '管理': [['诸葛瑾', '南郡']], '作者': [['沈约', '志']]}"
锺震﹑陈公益﹑李性传﹑张虙并兼侍读。徐淸叟﹑黄朴﹑李大同﹑叶味道并兼崇政殿说书。,"{'人物': ['锺震', '陈公益', '李性传', '张虙', '徐淸叟', '黄朴', '李大同', '叶味道'], '职官': ['兼侍读', '兼崇政殿说书']}","{'任职': [['黄朴', '兼崇政殿说书'], ['李大同', '兼崇政殿说书'], ['叶味道', '兼崇政殿说书'], ['徐淸叟', '兼崇政殿说书'], ['锺震', '兼侍读'], ['陈公益', '兼侍读'], ['李性传', '兼侍读'], ['张虙', '兼侍读']]}","{'人物': ['锺震', '陈公益', '李性传', '张虙', '徐淸叟', '黄朴', '李大同', '叶味道'], '职官': ['侍读', '崇政殿说书']}",{'任职': []}
以昱为广陵太守，朗为会稽太守。,"{'人物': ['昱', '朗'], '地点': ['广陵', '会稽'], '职官': ['太守', '太守']}","{'任职': [['昱', '太守'], ['朗', '太守']], '管理': [['昱', '广陵'], ['朗', '会稽']]}","{'人物': ['昱', '朗'], '地点': ['广陵', '会稽'], '职官': ['太守', '太守']}","{'任职': [['昱', '太守'], ['朗', '太守']], '管理': [['昱', '广陵'], ['朗', '会稽']]}"
应劭曰：舆，音预。安鄕侯植改封甄城侯。,"{'人物': ['应劭', '安鄕侯植'], '职官': ['甄城侯']}","{'任职': [['安鄕侯植', '甄城侯']]}","{'人物': ['应劭', '植', '安鄕侯植'], '职官': ['甄城侯']}","{'任职': [['植', '甄城侯']]}"
孜长于宫禁中，内外颇涉疑似，言者请罢孜兵柄，乃出为宁远军节度使﹑知潞州，徙陈州。,"{'人物': ['孜', '孜'], '地点': ['宁远军', '陈州'], '职官': ['节度使', '知潞州']}","{'任职': [['孜', '知潞州'], ['孜', '节度使']], '管理': [['孜', '宁远军']], '到达': [['孜', '陈州']]}","{'人物': ['孜'], '地点': ['陈州', '宁远军'], '职官': ['知潞州', '节度使', '宁远军节度使']}",{}
辛巳，以车骑将军李傕为大司马，在三公之右。,"{'时间': ['辛巳'], '职官': ['车骑将军', '大司马'], '人物': ['李傕']}","{'任职': [['李傕', '车骑将军'], ['李傕', '大司马']]}","{'人物': ['李傕'], '职官': ['大司马', '车骑将军'], '时间': ['辛巳']}","{'任职': [['李傕', '大司马'], ['李傕', '车骑将军']], '位于': []}"
而君敢自尊大，岂以江南寡弱，无方寸之刃故乎！」贞卽遽下车。中郞将琅邪徐盛忿愤，顾谓同列曰：「盛等不能奋身出命，为国家幷许、洛，呑巴、蜀，为，于伪翻。,"{'地点': ['江', '琅邪', '许', '洛', '巴', '蜀'], '人物': ['贞', '徐盛', '盛'], '职官': ['中郞将']}","{'任职': [['徐盛', '中郞将']], '生于地点': [['徐盛', '琅邪']]}","{'人物': ['贞', '盛', '徐盛'], '地点': ['巴', '蜀', '许', '洛', '琅邪', '江南'], '职官': ['中郞将']}","{'其他': [['贞', '盛']], '生于地点': [['徐盛', '琅邪']], '任职': [['徐盛', '中郞将']]}"
时焉子范为左中郞将，诞为治书御史，续汉志曰：治书侍御史二人，秩六百石，掌选明法律者为之；凡天下诸谳疑事，掌以法律当其是非。,"{'人物': ['焉', '范', '诞'], '职官': ['左中郞将', '治书御史'], '书籍': ['续汉志']}","{'任职': [['范', '左中郞将'], ['诞', '治书御史']], '父': [['焉', '范'], ['焉', '诞']]}","{'人物': ['焉', '范', '诞'], '职官': ['左中郞将', '治书御史', '治书侍御史'], '书籍': ['续汉志']}","{'任职': [['范', '左中郞将'], ['诞', '治书御史']], '父': [['焉', '范']]}"
问雍州刺史张旣，旣曰：「可劝使北出就谷以避贼，前至者厚其宠赏，则先者知利，后必慕之。,"{'地点': ['雍州'], '职官': ['刺史'], '人物': ['张旣', '旣']}","{'任职': [['张旣', '刺史']], '管理': [['张旣', '雍州']]}","{'人物': ['张旣'], '地点': ['雍州'], '职官': ['刺史']}","{'任职': [['张旣', '刺史']], '管理': [['张旣', '雍州']]}"
7太祖之入邺也，入邺见六十四卷汉建安十年。帝为五官中郞将，见袁熙妻中山甄氏美而悦之，甄，之人翻。,"{'人物': ['太祖', '帝', '袁熙', '甄氏'], '地点': ['邺', '邺', '中山'], '时间': ['汉建安十年'], '职官': ['五官中郞将']}","{'任职': [['帝', '五官中郞将']], '到达': [['太祖', '邺']], '生于地点': [['甄氏', '中山']], '夫妻': [['袁熙', '甄氏']]}","{'人物': ['太祖', '袁熙', '帝', '甄氏'], '地点': ['邺', '中山'], '时间': ['汉建安十年'], '职官': ['五官中郞将']}","{'任职': [['帝', '五官中郞将']], '到达': [['太祖', '邺']], '生于地点': [['甄氏', '中山']], '夫妻': [['袁熙', '甄氏']]}"
复为幷州刺史，往见太傅懿，有忿色而无言。,"{'地点': ['幷州'], '职官': ['刺史', '太傅'], '人物': ['懿']}","{'任职': [['懿', '太傅']]}","{'人物': ['懿'], '地点': ['幷州'], '职官': ['刺史', '太傅']}","{'任职': [['懿', '太傅']]}"
屈坚，为右武大夫﹑忠州防御使。,"{'人物': ['屈坚'], '职官': ['右武大夫', '防御使'], '地点': ['忠州']}","{'任职': [['屈坚', '防御使'], ['屈坚', '右武大夫']], '管理': [['屈坚', '忠州']]}","{'人物': ['屈坚'], '职官': ['右武大夫', '忠州防御使'], '地点': ['忠州']}","{'任职': [['屈坚', '右武大夫']]}"
道出荆湖南，当由邵州新化县至鼎州，而璘家潭之湘鄕，转运判官乔方欲媚璘，乃排比由邵至潭，由潭至鼎一路，御史劾其当农事之际，而观望劳民，诏罢方。,"{'地点': ['荆湖南', '邵州', '新化县', '鼎州', '潭', '湘鄕', '邵', '潭', '潭', '鼎'], '人物': ['璘', '乔方', '璘', '御史', '方'], '职官': ['转运判官']}","{'任职': [['乔方', '转运判官']], '属地': [['新化县', '邵州']]}","{'人物': [['璘', 1.0], ['方', 0.9999], ['乔方', 0.9999], ['璘', 0.9999], ['御史', 0.8247]], '地点': [['鼎州', 1.0], ['湘鄕', 0.9999], ['潭', 0.9999], ['潭', 0.9998], ['新化县', 0.9998], ['潭', 0.9998], ['邵', 0.9996], ['邵州', 0.9995], ['鼎', 0.9952], ['荆湖南', 0.9922], ['荆湖', 0.9939]], '职官': [['转运判官', 0.9997]]}","{'任职': [['乔方', '转运判官']], '属地': [['新化县', '邵州'], ['湘鄕', '潭']]}"
」布吿天下，当以豫州为法；赐逵爵关内侯。,"{'地点': ['豫州'], '人物': ['逵'], '职官': ['关内侯']}","{'任职': [['逵', '关内侯']]}","{'人物': ['逵'], '职官': ['关内侯'], '地点': ['豫州']}","{'任职': [['逵', '关内侯']]}"
11汉丞相亮以蒋琬为长史。,"{'团体': ['汉'], '职官': ['丞相', '长史'], '人物': ['亮', '蒋琬']}","{'任职': [['蒋琬', '长史'], ['亮', '丞相']], '封': [['亮', '蒋琬']], '隶属于': [['亮', '汉']]}","{'人物': ['亮', '蒋琬'], '职官': ['丞相', '长史'], '团体': ['汉']}","{'任职': [['亮', '丞相'], ['蒋琬', '长史']]}"
以五百户封田畴为亭侯。,"{'人物': ['田畴'], '职官': ['亭侯']}","{'任职': [['田畴', '亭侯']]}","{'人物': ['田畴'], '职官': ['亭侯']}","{'任职': [['田畴', '亭侯']]}"
汉主大慙恚曰：「吾乃为陆逊所折辱，岂非天耶！」依险行兵，敌扼其冲，情见势屈；敌乘其懈，至于失师，此非天也。将军义阳傅肜为后殿，魏文帝分南阳郡立义阳郡，又立义阳县属焉。,"{'人物': ['汉主', '陆逊', '傅肜', '文帝'], '职官': ['将军'], '地点': ['义阳', '南阳郡', '义阳郡', '义阳县'], '时间': ['魏']}","{'任职': [['傅肜', '将军']], '属地': [['义阳县', '义阳郡']], '生于地点': [['傅肜', '义阳']], '其他': [['陆逊', '汉主'], ['文帝', '南阳郡']], '设置': [['文帝', '义阳郡'], ['文帝', '义阳县']]}","{'人物': ['汉主', '陆逊', '傅肜', '魏文帝'], '地点': ['南阳郡', '义阳郡', '义阳县', '义阳'], '职官': ['将军']}","{'任职': [['傅肜', '将军']], '生于地点': [['傅肜', '义阳']], '设置': [['魏文帝', '义阳郡'], ['魏文帝', '义阳县']]}"
袁绍使人求助于刘表，表许之而竟不至，亦不援曹操。从事中郞南阳韩嵩、汉制，惟司隶校尉有从事中郞，至汉末，则州牧亦有从事中郞矣。,"{'人物': ['袁绍', '刘表', '表', '曹操', '韩嵩'], '职官': ['从事中郞'], '地点': ['南阳'], '时间': ['汉', '汉']}","{'任职': [['韩嵩', '从事中郞']], '请求': [['袁绍', '刘表']], '生于地点': [['韩嵩', '南阳']]}","{'人物': ['韩嵩', '袁绍', '刘表', '曹操', '表'], '时间': ['汉', '汉末'], '地点': ['南阳'], '职官': ['从事中郞', '司隶校尉', '州牧']}","{'生于地点': [['韩嵩', '南阳']], '任职': [['韩嵩', '从事中郞']], '请求': [['袁绍', '刘表']]}"
治平初，知桂州陆诜言，交州来求侬宗旦男日新及欲取温闷洞等地，帝问交阯于何年割据，辅臣对曰：“自唐至德中改安南都护府，梁贞明中，土豪曲承美专有此地。,"{'时间': ['治平', '唐', '至德', '梁', '贞明中'], '职官': ['知桂州'], '人物': ['陆诜', '侬宗旦', '日新', '帝', '曲承美'], '地点': ['交州', '温闷洞', '交阯', '安南']}","{'任职': [['陆诜', '知桂州']]}","{'人物': ['陆诜', '侬宗旦', '日新', '曲承美', '帝', '辅臣'], '职官': ['知桂州', '都护府'], '地点': ['交阯', '交州', '温闷洞', '安南', '安南都护府'], '时间': ['唐至德中', '梁贞明中', '治平初', '梁贞明']}","{'管理': [['曲承美', '安南']], '任职': [['陆诜', '知桂州']], '父': [['侬宗旦', '日新']]}"
绍欲废谭立尙，故以谭继兄后。出为靑州刺史。,"{'人物': ['绍', '谭', '尙', '谭'], '地点': ['靑州'], '职官': ['刺史']}","{'任职': [['谭', '刺史']], '管理': [['谭', '靑州']]}","{'人物': ['绍', '谭', '尙'], '地点': ['靑州'], '职官': ['刺史']}","{'任职': [['谭', '刺史']]}"
但无故从诸袁儿，终亦死耳！」乃使东中郞将董越屯渑池，中郞将段煨屯华阴，煨，乌回翻。,"{'人物': ['袁', '董越', '段煨'], '职官': ['东中郞将', '中郞将'], '地点': ['渑池', '华阴']}","{'任职': [['段煨', '中郞将'], ['董越', '东中郞将']], '位于': [['董越', '渑池'], ['段煨', '华阴']]}","{'人物': ['段煨', '董越', '袁儿'], '地点': ['渑池', '华阴'], '职官': ['中郞将', '东中郞将']}","{'位于': [['董越', '渑池'], ['段煨', '华阴']], '任职': [['段煨', '中郞将'], ['董越', '东中郞将'], ['董越', '中郞将']], '其他': [['袁儿', '段煨']]}"
郑雍论其穿凿附会，改龙图阁待制﹑知颍州。佃以欧阳脩守颍有遗爱，为建祠宇。实录成，加直学士，又为韩川﹑朱光庭所议，诏止增秩，徙知邓州。未几，知江宁府。,"{'人物': ['郑雍', '佃', '欧阳脩', '韩川', '朱光庭'], '职官': ['龙图阁', '待制', '知颍州', '直学士', '知邓州', '知江宁府'], '地点': ['颍'], '书籍': ['实录']}","{'任职': [['佃', '知江宁府'], ['佃', '知邓州'], ['佃', '直学士']]}","{'人物': ['郑雍', '佃', '欧阳脩', '韩川', '朱光庭'], '职官': ['龙图阁待制', '知颍州', '直学士', '知邓州', '知江宁府'], '地点': ['颍'], '书籍': ['实录']}","{'任职': [['佃', '直学士'], ['佃', '知江宁府'], ['佃', '知邓州'], ['佃', '知颍州']]}"
会天大雨三十馀日，栈道断绝，太尉华歆上疏曰：华，户化翻。,"{'职官': ['太尉'], '人物': ['华歆']}","{'任职': [['华歆', '太尉']]}","{'人物': ['华歆'], '职官': ['太尉'], '时间': ['三十馀日']}","{'任职': [['华歆', '太尉']]}"
紫琮等过鼎，闻学校文物之盛，请于押伴，求诣学瞻拜宣圣像，邵守张察许之，遂往，遍谒见诸生。,"{'人物': ['紫琮', '宣圣', '张察'], '地点': ['鼎', '邵'], '职官': ['守']}","{'任职': [['张察', '守']], '管理': [['张察', '邵']], '游历': [['紫琮', '鼎']]}","{'人物': ['紫琮', '张察', '鼎'], '地点': ['邵'], '职官': ['守', '押伴', '邵守']}","{'任职': [['张察', '守'], ['张察', '邵守']], '管理': [['张察', '邵']]}"
昭率僚属，上表朝廷，下移属城，中外将校，各令奉职。周瑜自巴丘将兵赴丧，遂留吴，以中护军与张昭共掌众事。,"{'人物': ['昭', '周瑜', '张昭'], '地点': ['巴丘', '吴'], '职官': ['中护军']}","{'任职': [['周瑜', '中护军']], '位于': [['周瑜', '吴']], '同僚': [['周瑜', '张昭']], '离开': [['周瑜', '巴丘']]}","{'人物': ['张昭', '周瑜', '昭'], '地点': ['吴', '巴丘'], '职官': ['中护军']}","{'位于': [['周瑜', '吴']], '离开': [['周瑜', '巴丘']]}"
意在蒋琬。仪至成都，拜中军师，无所统领，从容而已。,"{'人物': ['蒋琬', '仪'], '地点': ['成都'], '职官': ['中军师']}","{'任职': [['仪', '中军师']], '到达': [['仪', '成都']]}","{'人物': ['仪', '蒋琬'], '地点': ['成都'], '职官': ['中军师']}","{'到达': [['仪', '成都']], '任职': [['仪', '中军师']]}"
时金人攻海州急，诏玘会鎭江都统制张子盖赴之。,"{'团体': ['金'], '地点': ['海州', '鎭江'], '人物': ['玘', '张子盖'], '职官': ['都统制']}","{'任职': [['张子盖', '都统制']], '攻伐': [['金', '海州']], '管理': [['张子盖', '鎭江']], '同僚': [['玘', '张子盖']]}","{'人物': ['玘', '张子盖'], '地点': ['海州', '鎭江'], '职官': ['都统制'], '团体': ['金']}","{'攻伐': [['金', '海州']], '任职': [['张子盖', '都统制']], '管理': [['张子盖', '鎭江']]}"
诏以前太傅掾华歆为豫章太守。,"{'职官': ['太傅', '太守'], '人物': ['华歆'], '地点': ['豫章']}","{'任职': [['华歆', '太守'], ['华歆', '太傅']], '管理': [['华歆', '豫章']]}","{'人物': ['华歆'], '职官': ['太守'], '地点': ['豫章']}","{'任职': [['华歆', '太守']], '管理': [['华歆', '豫章']]}"
2幽州刺史毌丘俭以高句骊王位宫数为侵叛，句，如字，又音驹。,"{'地点': ['幽州'], '职官': ['刺史'], '人物': ['毌丘俭', '高句骊王位宫']}","{'任职': [['毌丘俭', '刺史']], '离开': [['毌丘俭', '幽州']], '其他': [['高句骊王位宫', '毌丘俭']]}","{'人物': ['毌丘俭', '句', '位宫', '高句骊王'], '地点': ['幽州'], '职官': ['刺史']}","{'任职': [['毌丘俭', '刺史']], '位于': [['位宫', '高句骊王']], '管理': [['毌丘俭', '幽州']]}"
少府田芬、大司农张义皆死。司徒赵温、太常王绛、衞尉周忠、司隶校尉管郃为傕所遮，欲杀之，郃，古合翻，又曷合翻。,"{'职官': ['少府', '大司农', '司徒', '太常', '衞尉', '司隶校尉'], '人物': ['田芬', '张义', '赵温', '王绛', '周忠', '管郃', '傕']}","{'其他': [['傕', '管郃'], ['傕', '王绛'], ['傕', '赵温'], ['傕', '周忠']], '任职': [['王绛', '太常'], ['管郃', '司隶校尉'], ['赵温', '司徒'], ['周忠', '衞尉'], ['田芬', '少府'], ['张义', '大司农']]}","{'人物': [['周忠', 1.0], ['张义', 1.0], ['王绛', 1.0], ['田芬', 1.0], ['管郃', 0.9999], ['赵温', 0.9999], ['傕', 0.9992]], '职官': [['太常', 0.9997], ['衞尉', 0.9997], ['司徒', 0.9996], ['少府', 0.9995], ['大司农', 0.9994], ['司隶校尉', 0.9993]]}","{'任职': [['周忠', '衞尉'], ['赵温', '司徒'], ['管郃', '司隶校尉'], ['张义', '大司农'], ['王绛', '太常'], ['田芬', '少府']], '其他': [['傕', '管郃']]}"
11初，益州郡耆帅雍闿杀太守正昂，因士燮以求附于吴，耆，渠伊翻，长也，老也。,"{'地点': ['益州郡'], '人物': ['雍闿', '正昂', '士燮'], '职官': ['太守'], '团体': ['吴']}","{'任职': [['正昂', '太守']], '杀': [['雍闿', '正昂']], '隶属于': [['雍闿', '益州郡']], '请求': [['雍闿', '吴']]}","{'人物': ['雍闿', '正昂', '士燮'], '职官': ['太守', '耆帅'], '团体': ['吴'], '地点': ['益州郡']}","{'杀': [['雍闿', '正昂']], '任职': [['正昂', '太守'], ['雍闿', '耆帅']], '管理': [['雍闿', '益州郡'], ['雍闿', '益州']]}"
7魏尙书令荀攸卒。,"{'地点': ['魏'], '职官': ['尙书令'], '人物': ['荀攸']}","{'任职': [['荀攸', '尙书令']], '隶属于': [['荀攸', '魏']]}","{'人物': ['荀攸'], '职官': ['尙书令'], '地点': ['魏']}","{'死于地点': [['荀攸', '魏']], '任职': [['荀攸', '尙书令']]}"
以齐为太守。,"{'人物': ['齐'], '职官': ['太守']}","{'任职': [['齐', '太守']]}","{'人物': ['齐'], '职官': ['太守']}","{'任职': [['齐', '太守']]}"
汉桓帝延熹二年，置祕书监；魏武为魏王，置祕书令、丞，典尙书奏事，黄初初，改为中书，置监、令，中书有监、令自此始。,"{'时间': ['汉桓帝延熹二年', '黄初初'], '职官': ['祕书监', '魏王'], '人物': ['魏武']}","{'任职': [['魏武', '魏王']]}","{'人物': ['魏武'], '职官': ['魏王', '祕书监', '中书', '祕书令', '监', '令', '丞'], '时间': ['黄初初', '汉桓帝延熹二年']}","{'任职': [['魏武', '魏王']], '设置': [['魏武', '祕书监'], ['魏武', '祕书令'], ['魏武', '丞'], ['魏武', '监'], ['魏武', '令'], ['魏武', '中书']]}"
谓言蜀之可伐与不可伐，皆有胜负之形，可以动人之听。中领军杨曁，中领军，主中垒、五校、武衞等三营。,"{'地点': ['蜀'], '职官': ['中领军', '中领军'], '人物': ['杨曁']}","{'任职': [['杨曁', '中领军']]}","{'人物': [['杨曁', 1.0]], '地点': [['蜀', 1.0]], '职官': [['中领军', 1.0]]}","{'任职': [['杨曁', '中领军']]}"
使公卿羣僚皆负土，树松、竹、杂木善草于其上，捕山禽杂兽置其中。司徒军议掾董寻上疏谏曰：汉公府无军议掾，此官魏置也。,"{'职官': ['司徒军议掾', '军议掾'], '人物': ['董寻'], '时间': ['汉'], '团体': ['魏']}","{'任职': [['董寻', '司徒军议掾']]}","{'人物': ['董寻'], '职官': ['司徒军议掾', '军议掾', '徒军议掾'], '时间': ['汉'], '地点': ['魏']}","{'任职': [['董寻', '司徒军议掾']], '设置': [['董寻', '徒军议掾']]}"
2幷州刺史梁习讨轲比能，大破之。,"{'地点': ['幷州'], '职官': ['刺史'], '人物': ['梁习', '轲比能']}","{'任职': [['梁习', '刺史']], '攻伐': [['梁习', '轲比能']], '管理': [['梁习', '幷州']]}","{'人物': ['梁习', '轲比能'], '地点': ['幷州'], '职官': ['刺史']}","{'任职': [['梁习', '刺史']], '管理': [['梁习', '幷州']], '攻伐': [['梁习', '轲比能']], '打败': [['梁习', '轲比能']]}"
吴主嘉其功，拜恪威北将军，威北将军，亦孙氏所创置。封都鄕侯，徙屯庐江皖口。,"{'人物': ['吴主', '恪', '孙氏'], '职官': ['威北将军', '威北将军', '都鄕侯'], '地点': ['庐江', '皖口']}","{'任职': [['恪', '威北将军'], ['恪', '都鄕侯']], '设置': [['孙氏', '威北将军']], '封': [['吴主', '恪']], '到达': [['恪', '庐江'], ['恪', '皖口']], '属地': [['皖口', '庐江']]}","{'人物': ['孙氏', '吴主', '恪'], '职官': ['威北将军', '都鄕侯'], '地点': ['庐江', '皖口']}","{'任职': [['恪', '威北将军'], ['恪', '都鄕侯']], '属地': [['皖口', '庐江']], '封': [['吴主', '恪']], '位于': [['恪', '皖口']]}"
袁子论曰：或云：「少府杨阜岂非忠臣哉？见人主之非则勃然触之，与人言未尝不道。,"{'人物': ['袁子', '杨阜'], '职官': ['少府']}","{'任职': [['杨阜', '少府']]}","{'人物': ['杨阜', '袁子', '袁子论'], '职官': ['少府']}","{'任职': [['杨阜', '少府']]}"
仁宗卽位，加公蕴检校太师。,"{'人物': ['仁宗', '公蕴'], '职官': ['检校太师']}","{'任职': [['公蕴', '检校太师']], '封': [['仁宗', '公蕴']]}","{'人物': ['公蕴', '仁宗'], '职官': ['检校太师']}","{'任职': [['公蕴', '检校太师']]}"
父均，磁州团练使。,"{'人物': ['均'], '地点': ['磁州'], '职官': ['团练使']}","{'任职': [['均', '团练使']], '管理': [['均', '磁州']]}","{'人物': ['均'], '职官': ['团练使'], '地点': ['磁州']}","{'任职': [['均', '团练使']], '管理': [['均', '磁州']]}"
诸军还成都，大赦，諡诸葛亮曰忠武侯。,"{'地点': ['成都'], '人物': ['诸葛亮'], '职官': ['忠武侯']}","{'任职': [['诸葛亮', '忠武侯']]}","{'人物': ['诸葛亮', '诸军'], '地点': ['成都'], '职官': ['忠武侯']}",{}
今使鲜于辅还鎭幽土，故以为右度辽将军。,"{'人物': ['鲜于辅'], '地点': ['幽'], '职官': ['右度辽将军']}","{'任职': [['鲜于辅', '右度辽将军']], '到达': [['鲜于辅', '幽']]}","{'人物': ['鲜于辅'], '职官': ['右度辽将军'], '地点': ['幽']}","{'位于': [['鲜于辅', '幽']]}"
以问扬州别驾蒋济，曰：「昔孤与袁本初对军官渡，徙燕、白马民，民不得走，贼亦不敢钞。,"{'地点': ['扬州', '官渡', '燕', '白马'], '职官': ['别驾'], '人物': ['蒋济', '袁本初']}","{'任职': [['蒋济', '别驾']], '管理': [['蒋济', '扬州']]}","{'人物': ['蒋济', '袁本初', '孤'], '地点': ['扬州', '燕', '官渡', '白马'], '职官': ['别驾']}","{'任职': [['蒋济', '别驾']], '管理': [['蒋济', '扬州']]}"
时李宥知江宁府，府廨尽焚。,"{'人物': ['李宥'], '职官': ['知江宁府']}","{'任职': [['李宥', '知江宁府']]}","{'人物': ['李宥'], '职官': ['知江宁府']}","{'任职': [['李宥', '知江宁府']]}"
近司隶校尉孔羨辟大将军狂悖之弟，裴松之曰：按大将军，司马宣王也；晋书云：宣帝第五弟名通，为司隶从事，疑恕所云狂悖者。,"{'职官': ['司隶校尉', '大将军', '司隶从事'], '人物': ['孔羨', '大将军', '裴松之', '司马宣王', '宣帝', '通', '恕'], '书籍': ['晋书']}","{'任职': [['孔羨', '司隶校尉'], ['通', '司隶从事'], ['司马宣王', '大将军']], '兄弟': [['宣帝', '通']], '其他': [['恕', '通']]}","{'人物': ['孔羨', '狂悖', '裴松之', '司马宣王', '宣帝', '通', '恕'], '职官': ['司隶校尉', '大将军', '司隶从事'], '书籍': ['晋书']}","{'任职': [['孔羨', '司隶校尉'], ['通', '司隶从事'], ['狂悖', '大将军']], '兄弟': [['宣帝', '通'], ['狂悖', '裴松之']]}"
是时新失元帅，军中扰扰，不知所为。督军杜袭初，操东还，留袭督汉中军事。,"{'职官': ['元帅', '督军'], '人物': ['杜袭', '操', '袭'], '地点': ['汉中']}","{'任职': [['杜袭', '督军']], '管理': [['袭', '汉中']], '派遣': [['操', '袭']]}","{'人物': [['操', 1.0], ['袭', 1.0], ['杜袭', 0.9999]], '地点': [['汉中', 0.9998]], '职官': [['督军', 0.9991], ['军事', 0.9921]]}","{'任职': [['袭', '军事']], '管理': [['袭', '汉中']]}"
是岁，吴昭武将军韩当卒，其子综淫乱不轨，惧得罪，闰月，将其家属、部曲来奔。,"{'时间': ['是岁', '闰月'], '地点': ['吴'], '职官': ['昭武将军'], '人物': ['韩当', '综']}","{'任职': [['韩当', '昭武将军']], '父': [['韩当', '综']], '隶属于': [['韩当', '吴']]}","{'人物': ['韩当', '综'], '时间': ['是岁', '闰月'], '地点': ['吴'], '职官': ['昭武将军']}","{'任职': [['韩当', '昭武将军']], '父': [['韩当', '综']]}"
时征南将军曹仁屯樊以鎭荆州，魏王操命仁还讨音。功曹宗子卿说音曰：说，输芮翻。,"{'职官': ['征南将军', '功曹'], '人物': ['曹仁', '魏王操', '仁', '音', '宗子卿', '音'], '地点': ['樊', '荆州']}","{'任职': [['曹仁', '征南将军'], ['宗子卿', '功曹']], '其他': [['曹仁', '荆州']], '攻伐': [['仁', '音']], '位于': [['曹仁', '樊']], '派遣': [['魏王操', '仁']], '交谈': [['宗子卿', '音']]}","{'人物': ['曹仁', '宗子卿', '魏王操', '音'], '职官': ['征南将军', '功曹'], '地点': ['樊', '荆州']}","{'位于': [['曹仁', '樊'], ['曹仁', '荆州']], '攻伐': [['曹仁', '音']], '任职': [['宗子卿', '功曹'], ['曹仁', '征南将军']], '派遣': [['魏王操', '曹仁']], '交谈': [['宗子卿', '音']]}"
绍定五年，海寇王子淸犯围头，守眞德秀遣大寿领卒百人防遏。,"{'时间': ['绍定五年'], '人物': ['王子淸', '眞德秀', '大寿'], '地点': ['围头'], '职官': ['守']}","{'任职': [['眞德秀', '守']], '攻伐': [['王子淸', '围头']], '派遣': [['眞德秀', '大寿']]}","{'地点': ['围头'], '人物': ['王子淸', '大寿', '眞德秀'], '时间': ['绍定五年'], '职官': ['守']}","{'派遣': [['眞德秀', '大寿']], '攻伐': [['王子淸', '围头']], '任职': [['眞德秀', '守']]}"
惟后军师费祎往慰省之，费，父沸翻。,"{'职官': ['后军师'], '人物': ['费祎']}","{'任职': [['费祎', '后军师']]}","{'人物': ['费祎'], '职官': ['后军师']}","{'任职': [['费祎', '后军师']]}"
」帝从之，诏大将军司马懿泝汉水由西城入，与眞会汉中，诸将或由子午谷、或由武威入。,"{'人物': ['帝', '司马懿', '眞'], '职官': ['大将军'], '地点': ['汉水', '西城', '汉中', '子午谷', '武威']}","{'任职': [['司马懿', '大将军']], '派遣': [['帝', '司马懿']], '见面': [['司马懿', '眞']], '到达': [['眞', '汉中'], ['司马懿', '汉中']], '游历': [['司马懿', '汉水'], ['司马懿', '西城']]}","{'人物': ['帝', '眞', '司马懿'], '地点': ['汉中', '汉水', '武威', '子午谷', '西城'], '职官': ['大将军']}","{'任职': [['司马懿', '大将军']]}"
